46.09,45.64,42.4,41.1,48.94,47.68,44.35,37.37,395.0
45.84,45.45,42.27,40.98,48.55,47.37,44.0,37.38,400.0
45.61,45.37,42.17,40.86,48.16,47.32,43.68,37.38,405.0
45.41,46.32,42.32,40.76,48.1,48.83,43.49,37.38,410.0
45.4,47.95,42.84,40.71,48.58,50.77,43.59,37.36,415.0
45.61,49.68,43.56,40.76,49.4,52.51,44.02,37.35,420.0
46.0,51.28,44.36,40.91,50.37,54.0,44.67,37.33,425.0
46.51,52.71,45.15,41.13,51.4,55.29,45.47,37.32,430.0
47.07,53.96,45.91,41.41,52.44,56.42,46.35,37.31,435.0
47.68,55.05,46.63,41.73,53.45,57.42,47.27,37.32,440.0
48.29,56.01,47.3,42.07,54.43,58.34,48.22,37.33,445.0
48.91,56.87,47.92,42.43,55.38,59.18,49.13,37.36,450.0
49.52,57.62,48.5,42.8,56.28,59.97,50.03,37.41,455.0
50.12,58.31,49.03,43.17,57.14,60.71,50.89,37.47,460.0
50.7,58.94,49.53,43.55,57.97,61.4,51.73,37.56,465.0
51.26,59.5,50.0,43.92,58.76,62.07,52.51,37.67,470.0
51.82,60.03,50.44,44.28,59.51,62.68,53.26,37.79,475.0
52.36,60.52,50.86,44.65,60.23,63.27,53.95,37.93,480.0
52.87,60.97,51.25,45.0,60.91,63.83,54.62,38.08,485.0
53.38,61.4,51.63,45.35,61.55,64.36,55.25,38.25,490.0
53.85,61.81,51.98,45.7,62.17,64.87,55.84,38.43,495.0
54.32,62.18,52.33,46.03,62.75,65.35,56.41,38.62,500.0
54.77,62.51,52.66,46.37,63.31,65.69,56.94,38.81,505.0
55.19,62.07,52.77,46.68,63.67,64.89,57.37,39.02,510.0
55.48,60.86,52.52,46.95,63.57,63.41,57.53,39.22,515.0
55.54,59.43,52.03,47.13,63.1,61.93,57.37,39.43,520.0
55.42,58.08,51.47,47.22,62.44,60.64,56.95,39.64,525.0
55.17,56.87,50.89,47.22,61.68,59.53,56.36,39.86,530.0
